propertyId;propertyType;district;coords
1281710;Hotel; Poblados marítimos, Valencia;-0.323607906745906,39.4639382414638
1282556;Bed & breakfast; Ciutat Vella, Valencia;-0.374746504299196,39.4736541144273
1283519;Apartamento; Ciutat Vella, Valencia;-0.376718080985711,39.4727642486717
1289561;Apartamento; Ciutat Vella, Valencia;-0.379054900000028,39.4693867
1297339;Casa o chalet; El Pla del Real, Valencia;-0.365180160118825,39.4805158190466
1301545;Apartamento; Ciutat Vella, Valencia;-0.378042901852382,39.4780631562667
1301725;Bed & breakfast; Ciutat Vella, Valencia;-0.370647426983624,39.4728657181359
1301731;Hotel; Benimaclet, Valencia;-0.363192558288574,39.4852426190732
1307718;Hotel; Ciutat Vella, Valencia;-0.374922234358564,39.4780386945318
1327120;Apartamentos; Ciutat Vella, Valencia;-0.381019287709478,39.4800004831135
1331238;Bed & breakfast; Extramurs, Valencia;-0.379553557672125,39.4648058565972
1346656;Apartamentos; Ciutat Vella, Valencia;-0.381188050724631,39.47892312696
1367507;Apartamento; Ciutat Vella, Valencia;-0.378119051456451,39.4731493503887
1381946;Apartamento; Ciutat Vella, Valencia;-0.373786190807323,39.4733344045252
1394168;Hotel; Eixample, Valencia;-0.3716005,39.4692545
1423172;Apartamentos; Ciutat Vella, Valencia;-0.376258448762201,39.4733544101502
1423284;Apartamento; Ciutat Vella, Valencia;-0.380143277625166,39.480702693097
1450279;Bed & breakfast; Ciutat Vella, Valencia;-0.37583232463794,39.4679870657674
1467935;Hostal o pensión; Valencia;-0.420914048934947,39.5032409926963
1528645;Apartamento; Ciutat Vella, Valencia;-0.380860699999971,39.4732795
1533033;Apartamento; Quatre Carreres, Valencia;-0.3614911355819,39.4622319493954
1538641;Apartahotel; Eixample, Valencia;-0.376146715344248,39.4640473658305
1545765;Apartamento; Campanar, Valencia;-0.386426896595708,39.4838640476348
1549399;Apartamentos; Poblados marítimos, Valencia;-0.333888763194636,39.4599512291496
1554388;Apartamento; Ciutat Vella, Valencia;-0.379576055225357,39.4704718008731
1558265;Apartamentos; Camins al Grau, Valencia;-0.354158876718316,39.4664237437353
1605997;Apartamento; Ciutat Vella, Valencia;-0.373188400000004,39.4702799519633
1619029;Apartahotel; Ciutat Vella, Valencia;-0.377647041954788,39.4734254634635
1634220;Apartamento; Poblados marítimos, Valencia;-0.326371,39.476022
1634221;Apartamentos; Ciutat Vella, Valencia;-0.380376130342483,39.4761594719806
1634232;Apartamento; Poblados marítimos, Valencia;-0.327937602996826,39.4798808591548
1634234;Apartamento; Ciutat Vella, Valencia;-0.379936248064041,39.4775600619228
1634236;Apartamento; Eixample, Valencia;-0.375890135765075,39.4649382070129
1634237;Apartamento; Extramurs, Valencia;-0.384119153022766,39.4732412268892
1634238;Apartamento; Poblados marítimos, Valencia;-0.332867503166198,39.4607904671909
1634240;Apartamento; Ciutat Vella, Valencia;-0.377236604690551,39.4765766499086
1634241;Apartamento; Ciutat Vella, Valencia;-0.38013070821762,39.4694832496056
1634242;Apartamento; Ciutat Vella, Valencia;-0.380259454250335,39.480497793116
1634243;Apartamento; Eixample, Valencia;-0.370675921440124,39.4637413309302
1634248;Apartamento; Eixample, Valencia;-0.365546196699142,39.4671113748927
1634252;Apartamento; Ciutat Vella, Valencia;-0.383054316043853,39.4765683684852
1634254;Apartamento; Ciutat Vella, Valencia;-0.374956727027893,39.4710692857104
1635721;Apartamentos; Extramurs, Valencia;-0.385939706745944,39.47497092154
1638172;Apartamentos; Poblados marítimos, Valencia;-0.33582916207672,39.4634655650228
